Entity;Code;Year;Depressive disorders(%)
Afghanistan;AFG;2016;4.40472749745
Albania;ALB;2016;2.45088331989
Algeria;DZA;2016;3.94620024102
American Samoa;ASM;2016;3.25211537058
Andean Latin America;;2016;2.9037327736400003
Andorra;AND;2016;4.00025994491
Angola;AGO;2016;4.71546722136
Antigua and Barbuda;ATG;2016;3.12805378004
Argentina;ARG;2016;3.8399746831600003
Armenia;ARM;2016;3.0685474959100003
Australasia;;2016;4.92162711567
Australia;AUS;2016;4.949713877870001
Austria;AUT;2016;3.4826477908699998
Azerbaijan;AZE;2016;2.85444601108
Bahamas;BHS;2016;3.16907406962
Bahrain;BHR;2016;4.15901617087
Bangladesh;BGD;2016;4.43959455227
Barbados;BRB;2016;3.3242639806099996
Belarus;BLR;2016;4.396416991520001
Belgium;BEL;2016;4.469739500589999
Belize;BLZ;2016;3.3981747568
Benin;BEN;2016;4.16398222035
Bermuda;BMU;2016;3.3789010165499995
Bhutan;BTN;2016;3.72066601117
Bolivia;BOL;2016;3.4556859929600003
Bosnia and Herzegovina;BIH;2016;2.56463445349
Botswana;BWA;2016;4.40220822573
Brazil;BRA;2016;3.7243926208099998
Brunei;BRN;2016;2.93469932244
Bulgaria;BGR;2016;2.7944181387099998
Burkina Faso;BFA;2016;4.21361755476
Burundi;BDI;2016;4.27835709821
Cambodia;KHM;2016;3.38168946521
Cameroon;CMR;2016;4.31925282073
Canada;CAN;2016;3.9983066531900002
Cape Verde;CPV;2016;4.62746160074
Caribbean;;2016;3.67689362826
Central African Republic;CAF;2016;4.75155240215
Central Asia;;2016;3.2657702527600003
Central Europe;;2016;2.70162396336
Central Latin America;;2016;2.94630054492
Central Sub-Saharan Africa;;2016;4.58422690117
Chad;TCD;2016;4.48222149059
Chile;CHL;2016;4.21977015446
China;CHN;2016;3.6803388775
Colombia;COL;2016;2.37824100272
Comoros;COM;2016;3.72340015881
Congo;COG;2016;4.54595774459
Costa Rica;CRI;2016;3.13226305966
Cote d'Ivoire;CIV;2016;3.8341382823299996
Croatia;HRV;2016;3.08151554824
Cuba;CUB;2016;3.9322625518199996
Cyprus;CYP;2016;3.56867588163
Czech Republic;CZE;2016;2.97256386232
Democratic Republic of Congo;COD;2016;4.53226677079
Denmark;DNK;2016;3.43256298478
Djibouti;DJI;2016;4.1238057888
Dominica;DMA;2016;3.2181890114800003
Dominican Republic;DOM;2016;3.42290704377
East Asia;;2016;3.66550126083
Eastern Europe;;2016;4.17942664795
Eastern Sub-Saharan Africa;;2016;4.36594129945
Ecuador;ECU;2016;3.2750929913
Egypt;EGY;2016;3.5291889045600002
El Salvador;SLV;2016;3.31867339519
England;;2016;4.32926722924
Equatorial Guinea;GNQ;2016;4.65526649518
Eritrea;ERI;2016;4.362334719420001
Estonia;EST;2016;4.23893903993
Ethiopia;ETH;2016;4.36789545476
Fiji;FJI;2016;3.4162483120800005
Finland;FIN;2016;5.1930263905
France;FRA;2016;4.52254429104
Gabon;GAB;2016;4.5919069633100005
Gambia;GMB;2016;4.71321987457
Georgia;GEO;2016;3.0681232215
Germany;DEU;2016;4.19688148421
Ghana;GHA;2016;3.91762350548
Greece;GRC;2016;4.46628771367
Greenland;GRL;2016;6.41475694458
Grenada;GRD;2016;3.3190611113
Guam;GUM;2016;3.8435952567799996
Guatemala;GTM;2016;3.5237886632600004
Guinea;GIN;2016;4.0676877463
Guinea-Bissau;GNB;2016;4.19214323599
Guyana;GUY;2016;4.8928783321600005
Haiti;HTI;2016;3.59015221346
High SDI;;2016;4.3421226736800005
High-income Asia Pacific;;2016;3.7069188574800003
High-middle SDI;;2016;3.89600870969
Honduras;HND;2016;3.03255995524
Hungary;HUN;2016;3.05220844267
Iceland;ISL;2016;3.58298073661
India;IND;2016;3.8539599786000003
Indonesia;IDN;2016;2.91098365864
Iran;IRN;2016;5.69492787033
