Entity;Code;Year;Per capita CO₂ emissions (tonnes per capita);GDP per capita (2011 int-$) ($);Total population (Gapminder)
Czech Republic;CZE;2016;9.952;28823;
Netherlands;NLD;2016;9.897;45600;
Germany;DEU;2016;9.696;44689;
Greenland;GRL;2016;9.611;;
Libya;LBY;2016;9.567;8096;
Japan;JPN;2016;9.521;37465;
Cayman Islands;CYM;2016;9.38;;
Bermuda;BMU;2016;9.337;;
Belgium;BEL;2016;8.922;38766;
Aruba;ABW;2016;8.777;;
Mongolia;MNG;2016;8.634;12360;
Norway;NOR;2016;8.597;82814;
Malaysia;MYS;2016;8.492;23053;
Ireland;IRL;2016;8.437;56597;
Poland;POL;2016;8.406;24838;
South Africa;ZAF;2016;8.365;12139;
Finland;FIN;2016;8.262;37239;
Iran;IRN;2016;8.17;16783;
Israel;ISR;2016;7.776;31701;
Austria;AUT;2016;7.747;41445;
New Zealand;NZL;2016;7.627;34295;
China;CHN;2016;7.363;12569;
Slovenia;SVN;2016;6.722;26908;
Bosnia and Herzegovina;BIH;2016;6.657;9746;
Greece;GRC;2016;6.614;22574;
Denmark;DNK;2016;6.536;44836;
Bahamas;BHS;2016;6.518;;
Bulgaria;BGR;2016;6.35;17037;
Belarus;BLR;2016;6.345;17628;
Andorra;AND;2016;6.34;;
Turks and Caicos Islands;TCA;2016;6.304;;
Slovakia;SVK;2016;6.281;25364;
British Virgin Islands;VGB;2016;6.197;;
Cyprus;CYP;2016;6.042;25577;
United Kingdom;GBR;2016;5.933;37334;
Italy;ITA;2016;5.928;33419;
Hong Kong;HKG;2016;5.914;48330;
Spain;ESP;2016;5.621;30110;
Serbia;SRB;2016;5.614;13184;
Venezuela;VEN;2016;5.601;15219;
Antigua and Barbuda;ATG;2016;5.547;;
Seychelles;SYC;2016;5.492;26624;
Ukraine;UKR;2016;5.365;9214;
France;FRA;2016;5.134;37124;
Turkey;TUR;2016;5.08;17906;
Qatar;QAT;2016;47.829;156299;
Portugal;PRT;2016;4.902;25346;
Hungary;HUN;2016;4.893;23279;
Chile;CHL;2016;4.868;21696;
Equatorial Guinea;GNQ;2016;4.765;33317;
Argentina;ARG;2016;4.764;18875;
Thailand;THA;2016;4.753;15454;
Barbados;BRB;2016;4.702;12003;
Sweden;SWE;2016;4.581;44659;
Lithuania;LTU;2016;4.578;24743;
Iraq;IRQ;2016;4.529;13898;
Switzerland;CHE;2016;4.504;59662;
Croatia;HRV;2016;4.405;20376;
Saint Kitts and Nevis;KNA;2016;4.378;;
Liechtenstein;LIE;2016;4.248;;
Malta;MLT;2016;4.165;29817;
Azerbaijan;AZE;2016;4.119;16645;
Curacao;CUW;2016;38.938;;
Trinidad and Tobago;TTO;2016;30.059;29178;
Romania;ROU;2016;3.966;17782;
Lebanon;LBN;2016;3.934;12972;
Nauru;NRU;2016;3.832;;
Macedonia;MKD;2016;3.805;12644;
Latvia;LVA;2016;3.8;22092;
Algeria;DZA;2016;3.787;14331;
Suriname;SUR;2016;3.761;;
Montenegro;MNE;2016;3.757;17741;
Mexico;MEX;2016;3.645;16133;
Maldives;MDV;2016;3.593;;
Uzbekistan;UZB;2016;3.418;10381;
Mauritius;MUS;2016;3.253;18918;
French Polynesia;PYF;2016;3.212;;
Cuba;CUB;2016;3.2;;
Kuwait;KWT;2016;25.813;71010;
United Arab Emirates;ARE;2016;25.794;75876;
Bahrain;BHR;2016;24.509;41078;
Brunei;BRN;2016;23.701;;
Botswana;BWA;2016;2.955;15198;
Guyana;GUY;2016;2.754;;
Jordan;JOR;2016;2.734;11529;
